sitename,Address,firstComplaint,lastComplaint,NumOfComplaints,NumOfCleanups,NumOfEncampments,NumOfCamps,NumOfOutreachContacted,NumOfOutreachReferred,MapLatitude,MapLongitude,TargetDate,CleanupScheduledOrCompleteDate,CleanupStatus,CleanupID,CleanupSiteCondition,ComplaintSiteCondition,InspectionSiteCondition,OutreachSiteCondition,PoliceSiteCondition,MaintenanceSiteCondition,InventoryInfo,Documents,EncampmentStatus
Green Lake - N 70th & Aurora Ave N,"7201 E Green Lake Dr N, Seattle, WA 98115, USA",3/21/2014,4/4/2018,22,12,0,12,1,2,47.6795915,-122.345459,10/11/2016,9/27/2016,C,5106,,"1 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
11th Ave between E Union St & E Madison St,"1161 11th Ave, Seattle, WA",9/20/2016,9/20/2016,1,1,0,1,0,0,47.605078,-122.329974,10/11/2016,1/26/2017,C,5107,,"1 Number of People, 1 Number of Structures, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Street Car Maintenance Building,"318 Fairview Ave N, Seattle, WA 98109, USA",9/20/2016,9/20/2016,1,1,0,1,0,0,47.6217461,-122.3339512,10/11/2016,3/27/2017,C,5108,,"1 Garbage / Litter, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
E Marginal Way S & S Spokane St (parking lot under S Spokane St),"East Marginal Way S & S Spokane St, Seattle, WA 98134, USA",4/7/2009,3/20/2017,17,14,7,7,15,15,47.57152783,-122.3402631,10/12/2016,11/3/2016,C,5109,,"10 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Fires, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
10821 Lake City Way NE (just s of 110th),"10821 Lake City Way Northeast, Seattle, WA 98125, USA",7/10/2015,9/21/2016,3,2,0,2,0,0,47.70762456,-122.3014773,10/12/2016,10/12/2016,C,5110,,"1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Stevens Place Park,"17th Ave S & S Stevens St, Seattle, WA 98144, USA",9/21/2016,3/17/2017,2,2,0,2,0,0,47.5768569,-122.3107588,10/12/2016,12/27/2016,C,5111,,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
400 S Massachusetts Street,"400 S Massachusetts St, Seattle, WA 98134, USA",12/30/2009,6/18/2018,6,4,1,3,0,0,47.5882604,-122.32897,10/14/2016,2/22/2017,C,5112,,"1 Human Waste, 1 Alcohol / Drugs, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
University Playground,"4745 9th Ave NE, Seattle, WA 98105, USA",9/23/2016,6/9/2018,6,1,0,1,0,0,47.6644085,-122.3193462,10/14/2016,NULL,O,5113,,"4 Number of Structures, 1 Garbage / Litter, 1 Fires, 2 Number of Structures, 1 Garbage / Litter, 1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, 1 Number of Structures, 1 Garbage / Litter, 1 Property Damage, 2 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, 1 Garbage / Litter, 1 Alcohol / Drugs, ","1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-90 off ramp Exit 3A,"1307 Rainier Avenue South, Seattle, WA 98144, USA",10/2/2014,10/13/2017,17,6,3,3,4,4,47.5909747,-122.3078581,10/17/2016,12/2/2016,C,5114,"2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, ","3 Number of Structures, 1 Garbage / Litter, ","1 Garbage / Litter, 1 Human Waste, 1 Fires, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 & Olive Way/Melrose,"1356 E Olive Way, Seattle, WA 98122, USA",3/10/2014,5/14/2018,7,6,0,6,1,1,47.6169013,-122.3275761,10/18/2016,1/17/2017,C,5115,,"1 Number of Structures, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under SR 99 & Blanchard St,"Blanchard Street, Seattle, WA 98121, USA",9/2/2015,6/22/2017,6,3,2,1,2,2,47.61362724,-122.3445159,10/18/2016,2/1/2017,C,5116,"1 Personal Property Recovered, 9 Number of People, 8 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, ","7 Number of Structures, 1 Human Waste, 1 Criminal Activity, 6 Number of Structures, ","3 Number of People, 8 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 1 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
3200 block NW 54th Street,"3200 NW 54th St, Seattle, WA 98107, USA",3/22/2012,3/16/2017,18,8,4,4,5,5,47.667719,-122.398681,10/18/2016,2/10/2017,C,5117,"10 Number of People, 12 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Alcohol / Drugs, ","5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, 1 Property Damage, ","10 Number of People, 12 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Fires, 2 Weapons, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
1503 3rd Ave W,"1503 3rd Ave W, Seattle, WA 98119, USA",1/14/2009,9/27/2016,2,2,0,2,0,0,47.6324154,-122.3610257,10/18/2016,NULL,O,5118,,"1 Number of People, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
3115 Wetmore Ave S - School Dist parking lot,"3115 Wetmore Ave S, Seattle, WA 98144, USA",9/27/2016,9/27/2016,1,1,0,1,0,0,47.5751934,-122.2942099,10/18/2016,9/19/2016,C,5119,,"3 Number of People, 1 Number of Vehicles, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Pedestrian path behind 12015 31st Ave NE,"12015 31st Ave NE, Seattle, WA 98125, USA",9/27/2016,9/27/2016,1,1,0,1,0,0,47.7160738,-122.2955518,10/18/2016,4/6/2017,C,5120,,"2 Number of Vehicles, 1 Garbage / Litter, ","1 Garbage / Litter, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Woodland Park,"1000 N 50th St, Seattle, WA 98103, USA",9/7/2011,8/16/2018,31,18,4,14,9,9,47.666818,-122.3440719,10/19/2016,11/15/2016,C,5121,,"12 Number of People, 10 Number of Structures, 2 Number of Vehicles, 1 Fires, 1 Number of People, 1 Number of Structures, ","4 Number of People, ",,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Personal Property Recovered, ",,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
8753 NESBIT AVE N,"Nesbit Ave N, Seattle, WA 98103, USA",9/28/2016,7/30/2018,2,2,0,2,0,0,47.6923752,-122.3434589,10/19/2016,9/29/2016,C,5122,,"1 Number of People, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Woodland Park south of Off Leash area,"1000 North 50th Street, Seattle, WA 98103, USA",9/5/2013,5/20/2018,8,6,1,5,4,4,47.67102289,-122.345295,10/19/2016,4/4/2017,C,5123,"1 Personal Property Recovered, 14 Number of People, 8 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, ","3 Number of People, 4 Number of Structures, 1 Alcohol / Drugs, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","7 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Gilman Playfield,"923 NW 54th St, Seattle, WA 98107, USA",9/22/2011,8/2/2017,17,14,6,8,0,0,47.66992473,-122.3688555,10/20/2016,9/29/2016,C,5124,,"3 Number of Structures, 1 Garbage / Litter, ","1 Number of People, 1 Garbage / Litter, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
2107 Elliott Avenue,"2107 Elliott Avenue, Seattle, WA 98121, USA",3/10/2014,9/29/2016,2,2,0,2,2,2,47.6112618,-122.3456486,10/20/2016,9/25/2017,C,5125,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 NB Offramp at NE 50th Street,"5th Ave NE & NE 50th St, Seattle, WA 98105, USA",4/26/2012,3/17/2017,9,5,2,3,4,4,47.6649718,-122.322854,10/20/2016,12/29/2016,C,5126,,"1 Garbage / Litter, 1 Garbage / Litter, ","2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Kinnear Park (Upper) near tennis courts,"899 W Olympic Pl, Seattle, WA 98119, USA",9/30/2016,4/3/2018,9,4,0,4,0,0,47.6283151,-122.3676946,10/21/2016,6/13/2017,C,5127,,"1 Garbage / Litter, 15 Number of People, 7 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Roxhill Park,2850 SW Roxbury Street,9/29/2010,8/1/2018,9,8,0,8,0,1,47.605078,-122.329974,10/21/2016,10/11/2016,C,5128,,"5 Number of People, ","1 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
E Marginal Way S & S Spokane St (East Waterway Bridge),"East Marginal Way S & S Spokane St, Seattle, WA 98134, USA",4/7/2009,9/10/2018,12,7,2,5,9,9,47.57139392,-122.345016,10/21/2016,11/3/2016,C,5129,"16 Number of Structures, 27 Number of Vehicles, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ",,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Burke-Gilman Trail @ Stone Way N & N 34th St,"Stone Way N & N 34th St, Seattle, WA 98103, USA",9/30/2016,11/9/2017,2,2,0,2,0,0,47.6485441,-122.3427729,10/21/2016,1/31/2017,C,5130,,"1 Number of People, 1 Number of Structures, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under I-5 along NE Ravenna Blvd,"617 NE Ravenna Blvd, Seattle, WA 98115, USA",10/3/2016,4/20/2018,5,3,1,2,1,1,47.6750109,-122.3218518,10/24/2016,6/21/2017,C,5131,"1 Personal Property Recovered, 2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, ","5 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, ","2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Thornton Creek Natural Area,"Sand Point Way NE & NE 95th St, Seattle, WA 98115, USA",10/3/2016,6/21/2018,6,1,1,0,1,1,47.697381,-122.2776353,10/24/2016,7/23/2018,C,5132,"1 Personal Property Recovered, 3 Number of People, 4 Number of Structures, 2 Number of Vehicles, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","5 Number of People, 1 Human Waste, 1 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","10 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 1 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","1 Males Contacted, 2 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Matthews Beach Park,Matthews Beach Park,3/3/2009,6/15/2018,7,4,0,4,0,0,47.696779,-122.27379,10/25/2016,8/16/2017,C,5133,,"3 Number of Structures, 1 Garbage / Litter, 1 Fires, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
S Dearborn St & Corwin Pl S,"S Dearborn St & Corwin Pl S, Seattle, WA 98144, USA",10/4/2016,3/15/2017,4,2,2,0,1,1,47.595824,-122.3140616,10/25/2016,12/7/2016,C,5134,"4 Number of People, 4 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ","1 Garbage / Litter, 15 Number of People, 12 Number of Structures, 1 Garbage / Litter, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ","27 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
W Wheeler St (Outside Interbay Golf Course),"2501 15th Avenue West, Seattle, WA 98119, USA",10/20/2014,10/31/2018,6,3,2,1,4,4,47.64112918,-122.378596,9/19/2016,5/9/2017,C,5135,"1 Personal Property Recovered, 2 Number of Structures, 1 Property Damage, ","4 Number of People, 5 Number of Structures, 1 Garbage / Litter, 6 Number of People, 6 Number of Structures, 1 Garbage / Litter, ","4 Number of People, 10 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Interbay Athletics Complex,"3027 17th Ave W, Seattle, WA 98119, USA",10/4/2016,4/16/2018,4,2,0,2,0,0,47.6473157,-122.378501,10/25/2016,10/4/2016,C,5136,,"1 Number of People, 1 Number of Structures, 2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","1 Number of People, 1 Number of Structures, 2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
PSE Gas Facility,"3601 Duwamish Ave S. Seattle, WA",10/4/2016,10/4/2016,1,1,0,1,0,0,47.605078,-122.329974,10/25/2016,10/5/2016,C,5137,,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
7502 E Green Lake Dr N,"7502 East Green Lake Dr N, Seattle, WA 98103, USA",3/8/2016,10/31/2018,5,3,1,2,1,1,47.682924,-122.330648,10/25/2016,5/9/2017,C,5138,,"1 Number of Structures, 1 Garbage / Litter, ","4 Number of Structures, 1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
6508 E Greenlake Way N - Green Lake Park,"6508 East Green Lake Way N, Seattle, WA 98103, USA",4/11/2016,10/5/2016,2,2,0,2,0,0,47.6762469,-122.332152,10/26/2016,12/5/2016,C,5139,"2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","1 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, 1 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Cheshiahud Lake Union Loop @ Westlake Ave N &,"2998 Westlake Ave N, Seattle, WA 98109, USA",10/6/2016,10/6/2016,1,1,0,1,0,0,47.64597958,-122.3487641,10/27/2016,NULL,O,5140,,"1 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under Spokane St Bridge at S Spokane St,"20 S Spokane St, Seattle, WA 98134, USA",10/6/2016,10/6/2016,1,1,0,1,0,0,47.57225144,-122.3262777,10/27/2016,4/20/2017,C,5141,,"4 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
NE 93rd St & Sand Point Way NE (KC Waste Wtr Station),"9310 Sand Point Way NE, Seattle, WA 98115, USA",10/6/2016,7/9/2018,2,1,0,1,0,0,47.69674449,-122.2769171,10/27/2016,NULL,O,5142,,"1 Human Waste, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake - N 70th & Aurora Ave N,"7201 E Green Lake Dr N, Seattle, WA 98115, USA",6/13/2012,7/27/2018,8,6,0,6,0,0,47.6830536,-122.3402896,10/28/2016,11/11/2016,C,5143,,"1 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Myers Way S (ROW under transmission line),"210 S 99th St, Seattle, WA 98108, USA",8/16/2016,10/7/2016,3,2,0,2,0,0,47.514919,-122.331697,10/28/2016,10/10/2016,C,5144,,"3 Number of Structures, 1 Number of Vehicles, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under Fairview Ave N Bridge,"1201 Fairview Ave E, Seattle, WA 98102, USA",10/10/2016,12/7/2016,2,1,1,0,0,0,47.63174462,-122.3268744,10/31/2016,NULL,O,5145,,"1 Number of People, 1 Garbage / Litter, 4 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Northacres Park,"12718 1st Avenue Northeast, Seattle, WA 98125, USA",7/15/2013,8/2/2017,17,7,3,4,6,6,47.7212902,-122.3262675,10/31/2016,10/18/2016,C,5146,,"1 Number of People, 1 Number of Vehicles, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Golden Gardens Park - near pond & RR tracks,"Golden Gardens Park, 8498 Seaview Pl NW, Seattle, WA 98117, USA",7/29/2016,8/6/2018,8,7,3,4,2,2,47.69565764,-122.400465,10/31/2016,10/31/2016,C,5147,,"5 Number of People, 1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Green Lake Park Wading Pool,"7870 West Green Lake Dr N, Seattle, WA 98103, USA",10/10/2016,11/13/2018,3,3,0,3,0,0,47.6855258,-122.338295,10/31/2016,10/31/2016,C,5148,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Behind 1300 W Nickerson St - south end Ballard Bridge,"1300 W Nickerson St, Seattle, WA 98119, USA",1/25/2016,5/8/2018,5,3,0,3,0,0,47.655621,-122.3747343,11/1/2016,2/13/2017,C,5149,,"20 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6th Ave NE @ NE Northlake Way,"NE Northlake Way & 6th Ave NE, Seattle, WA 98105, USA",3/13/2015,10/11/2016,2,2,0,2,2,2,47.65482987,-122.3222375,11/1/2016,3/23/2017,C,5150,,"6 Number of People, 1 Number of Structures, 5 Number of Vehicles, 1 Garbage / Litter, 1 Hazardous Materials, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
7244 W GREEN LAKE DR N,"7244 West Green Lake Dr N, Seattle, WA 98115, USA",9/22/2015,7/9/2018,11,6,0,6,0,0,47.6817576,-122.34315,11/1/2016,12/1/2016,C,5151,,"1 Garbage / Litter, 2 Number of People, 2 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake - N 70th & Aurora Ave N,"7201 E Green Lake Dr N, Seattle, WA 98115, USA",1/28/2016,9/28/2017,9,5,0,5,0,0,47.681249,-122.3444192,11/1/2016,12/29/2016,C,5152,,"2 Number of Structures, ","1 Number of Structures, 2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 1 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
First Hill Park,"1221 Minor Ave, Seattle, WA 98101, USA",8/5/2014,7/6/2018,7,5,0,5,0,0,47.6114985,-122.3258719,11/1/2016,5/25/2017,C,5153,,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 1 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
1900 28th Ave S,"1900 28th Ave S, Seattle, WA 98144, USA",10/11/2016,10/11/2016,1,1,0,1,0,0,47.586163,-122.296024,11/1/2016,11/9/2016,C,5154,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
800 S Weller,"800 S Weller St, Seattle, WA 98104, USA",6/21/2012,3/23/2018,9,5,2,3,3,4,47.5975126,-122.3224507,11/1/2016,10/23/2017,C,5155,"1 Personal Property Recovered, 9 Number of Structures, 1 Number of Vehicles, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, ","1 Number of Structures, 3 Number of Structures, 1 Garbage / Litter, 1 Property Damage, 4 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Fires, 1 Alcohol / Drugs, ","1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Japanese Garden,"Seattle, WA, USA",2/2/2016,10/3/2016,2,2,1,1,0,0,47.63041484,-122.2977171,10/24/2016,12/15/2016,C,5156,,"3 Number of Structures, 1 Hazardous Materials, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
550 S Brandon (Beside building),"550 S Brandon St, Seattle, WA 98108, USA",10/13/2016,11/17/2016,2,1,0,1,0,0,47.5544635,-122.3271938,11/3/2016,6/13/2017,C,5157,,"1 Number of People, 1 Garbage / Litter, 6 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ","2 Number of Vehicles, 1 Garbage / Litter, 1 Hazardous Materials, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under Alaskan Way Viaduct btwn S Main St & S Jackson St,"Alaskan Way S & S Main St, Seattle, WA 98104, USA",8/16/2016,9/25/2017,7,5,0,5,1,1,47.6000567,-122.3355551,11/3/2016,2/24/2017,C,5158,,"7 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
